"id","name_tc","description_tc","slug"
"39428","美國-天然氣產量-主要頁岩油氣產區",,"us-natural-gas-production-major-shale-play"
"39429","美國-天然氣產量 vs 鑽井數量",,"us-natural-gas-production-vs-rig-counts"
"39673","美國-液化天然氣(LNG)出口量","2015 年以前美國本土 48 洲並不具備 LNG 出口能力，惟獨阿拉斯加 Kenai 終端站出口少量 LNG，但自從 2016 年 2 月錢尼爾能源（Cheniere Energy）旗下的 Sabine Pass 終端站首度出口 LNG 貨物至巴西以來，美國 LNG 出口量在 2016 ~ 2021 年複合成長率高達 80%，反映美國 LNG 出口能力迅速增長的趨勢。","us-lng-exports-by-regions"
"40189","巴西-GDP內涵佔比","巴西 GDP 細項可以分成四大部分：消費、投資、政府支出、淨出口（出口 - 進口）。消費佔巴西 GDP 超過六成，且有逐年上升的趨勢，反映巴西是消費大國，消費力道影響總體經濟甚巨。其次則為約佔 20% 的政府支出及約 15% 的資本形成（投資）。而由於國內天然資源豐富，巴西為出口大國，淨出口亦決定其經濟增速力道。","brazil-gdp-items-weight"
"40194","巴西-零售銷售vs.消費者信心指數","消費占巴西 GDP 達 65% 以上，因此消費市場為巴西基本面一大重要支柱。當遇上重大經濟危機，如 2015 年新興市場危機和 2020 年新冠疫情，零售銷售便會出現明顯的翻負情形，反映消費力道受限，股市表現亦受到影響。

巴西消費者信心指數針對一些問題做出調查，如儲蓄賬戶和未來支出的決定、對當地經濟形勢的評價和預期、家庭的財務狀況等。以 100 為基準點，若消費者信心大於 100，反映消費者短期情緒較樂觀；反之，若小於 100，則代表消費者短期情緒悲觀。","br-retail-sales-vs-consumer-confidence-index"
"40463","巴西-消費者物價指數[IPCA]-細項(年增率)","消費者物價指數（CPI，巴西稱為 IPCA）為計算通貨膨脹的依據，其代表所有家庭購買消費性商品及服務價格變動的平均情況，由巴西國家地理與統計局（Instituto Brasileiro de Geografia e Estatística）編製。其主要組成項目及權重如下：

1. 食物飲料：約 20%
2. 居住：約 15%~16%
3. 住房用品：約 3% ~ 5%
4. 衣著：約 4% ~ 5%
5. 交通：約 20%
6. 醫療：約 12% ~ 13%
7. 娛樂：約 10%
8. 教育：約 5%~6%
9. 通訊：約 5%~6%

年增率直接比較去年同期數值，除了可以排除部分季節性因素外，也能較穩定的反映商品價格實際趨勢。","br-cpi-breakdown-yoy"
"40515","美國-電腦與電子產品訂單vs.半導體銷售","美國的耐久財中包含了許多半導體的應用產品，包括汽車、家電、電腦、手機等，作為全球第一大的消費市場其新訂單可視為半導體終端應用的需求指標，其中細項的電腦及電子產品時，當訂單增速上升，代表終端的電子產品需求增加，有利半導體周期的向上循環，反之當訂單增速下滑，終端電子產品的需求減少時，半導體週期將會有趨緩的風險。 ","us-durable-goods-items-semi"
"40517","台灣-半導體業-毛利率vs.庫存天數","台灣具有從上至下游的完整半導體產業聚落，且在全球半導體供應鏈中佔有一定的地位，因此台灣半導體產業的毛利率和銷貨天數對於判斷半導週期環具有一定的指標性。
​
當半導體位於上升週期時，產能通常是供不應求，有利於半導體廠提高產能利用率和調漲價格，整體產業的毛利率容易上漲，此時因產能及庫存較短缺，平均銷貨天數也會處在較低檔的狀況；反之當發現毛利率逐漸趨緩，銷貨天數上升且超過歷史平均水準時，就要留意後續可能會面臨去庫存的跌價循環。","tw-semiconductor-industry-gross-margin-vs-average-sales-days"
"40584","美台-供應商交貨時間","透過觀察美國與台灣製造業指數的細項 - 供應商交貨時間，配合兩國存貨水平，能夠了解全球製造業上下游端的交貨情形。

當存貨在低位，同時供應商交貨時間延長（數值大於榮枯線 50），可能代表著供應鏈產能滿載或缺乏原物料，以致廠商延長交貨時間，使庫存上升力道不至於過快。反之，當交貨時間低於榮枯線，則意味著供應鏈緊縮狀況逐步緩解，有利廠商出貨力道，此時便須同步觀察庫存是否出現攀升。","us-taiwan-supplier-delivery-time"
"40795","Meta-各營收板塊","2021 Q4 後 Meta 將營收重新拆分為：「 Family of Apps 」、「 Reality Labs 」：

1.  Family of Apps（Advertising 、 Other revenue 營收）：主要包含 Meta 內所有社群的數位廣告營收，包含 Facebook 、 Instagram 、 Messenger 和 WhatsApp 等。

2. Reality Labs：則包含 AR 、 VR 等業務，主要包含 Meta 在元宇宙的佈局。

註 1：2021 Q4 後「其他營收」的 VR 硬體收入改認列至「元宇宙營收」，因此導致該項目出現衰退，純粹是因為認列方式改動所導致

註 2：「元宇宙營收」數據臉書目前只回朔公佈至 2020 Q4，過往營收數據可參考「其他營收」","fb-revenue-by-segment"
"40796","Meta-各營收板塊佔比","2021 Q4 後 Meta 將營收重新拆分為：「 Family of Apps 」、「 Reality Labs 」：

1.  Family of Apps（Advertising 、 Other revenue 營收）：主要包含 Meta 內所有社群的數位廣告營收，包含 Facebook 、 Instagram 、 Messenger 和 WhatsApp 等。

2. Reality Labs：則包含 AR 、 VR 等業務，主要包含 Meta 在元宇宙的佈局。","fb-rev-proportion-by-seg"
"40923","美國-房屋租金vs.房價指數","房租 2 大項目：主要住宅租金、所有權人約當租金。主要住宅租金的定義較直觀，即指民眾在市場上租房的花費，佔比約 CPI 的 7% ~ 8%；而所有權人約當租金則是指房屋擁有者將自有住宅於市場上出租所獲得的預期租金，計算方法為將購屋一次性成本，以租金方式分攤換算成 CPI ，佔比約 23% ~ 24% 較高。

市場上在簽訂租房合約時，通常會一次性簽訂 6 ~ 12 個月的合約，因此房價的上升要移轉至消費者會有一定滯後現象。根據觀察可以發現，房價領先於房租通膨約 1 年的時間。","us-house-price-index-vs-house-rent-inflation"
"41098","中國-社會融資增量細項","社會融資規模增量，是指一定時期內實體經濟（境內非金融企業和住戶）從金融體系獲得的資金額，由人民幣貸款 + 外幣貸款 + 委託貸款 + 信託貸款 + 未貼現銀行承兌票 + 企業債券 + 地方政府專項債 + 非金融企業境内股票組成。

社融與 M2 的差異：
1. 社會融資為金融機構的「資產端」，可大體反映市場的融資需求和金融機構放貸意願。
2. M2 為金融機構的「負債端」，主體為銀行的存款，反映的是實體經濟的流動性多寡。

註 1：2019 年 12 月將國債和地方政府一般債券納入社會融資規模統計，與原有地方政府專項債券合併為政府債券指標。
註 2：2018 年 9 月起地方政府專項債券納入統計。
註 3：社會融資增量通常在季底時會有季節性的增長。","cn-total-social-financing-subindices"
"41397","中國-物流業景氣指數","中國物流業景氣指數(Logistics Performance Index，簡稱 LPI)主要由業務總量、新訂單、從業人員、庫存周轉次數、設備利用率 5 項指數加權合成。

物流反映著目前總體經濟的活躍狀況，因此可透過 LPI 來觀察物流業和總體經濟的變化，以 50% 作為經濟強弱的分界點，高於 50% 時，反映物流業及經濟擴張；低於 50%，則反映物流業及經濟收縮。

註 1：歷史來看，LPI 通常是在 50 分界點以上徘徊，實際應用上可將 50 分界點向上移動來觀察。
註 2：由於 LPI 的波動性較高，圖表中同時呈現 6 個月平均的 LPI 值，對於趨勢上的判斷更加有利。","china-logistics-industry-performance-index"
"41674","美國-戰略石油儲備[SPR]","1973 年爆發第一次石油危機，阿拉伯國家宣佈石油禁運，導致原油價格飆漲、衝擊美國經濟，促使時任總統福特（Gerald Ford）於 1975 年 12 月正式簽署「能源政策與節約法案（Energy Policy and Conservation Act, EPCA）」，企圖建置戰略儲備石油 SPR。國會最初授權 SPR 的最終儲備目標為 5 億桶原油，並在 1978 、 2005 年分別擴增至 7.5 億、 10 億桶，藉此保障國家石油供應不間斷。","us-strategic-petroleum-reserve"
"41721","台灣-低度使用住宅比率","根據內政部的標準，台灣家庭基本用電量大約為 55 度至 62 度之間，故台灣低度（電量）使用住宅主要是以各年度 5 月、 6 月與 11 月、 12 月之月平均「用電度數 60 度」為基準，當平均用電度數低於 60 度的住宅則會界定為「低度使用（用電）住宅」，即俗稱的「空屋」。

低度使用住宅比率（空屋率）就是「低度使用住宅」和「房屋稅籍住宅類數量」的比例。

須留意的是空屋率主要看的是市場上「成屋」使用狀況，但房市中真正的影響價格的供需指標要觀察的是「預售」和「待售」的情況，且在低利環境下，高空屋率已是常態，解讀時建議伴隨其他指標做判斷。

備註：內政部自 2020 年起改為每半年統計 1 次","tw-low-used-housing-ratio"
"41728","台灣-新建餘屋數vs.房價指數","內政部主要將屋齡 5 年內、仍維持第１次登記且有銷售可能性的住宅，視為新建餘屋（待售屋）住宅。在看房市供給上，可將「預售屋」視為供貨狀況，「餘屋」視為存貨。

當餘屋增加時，代表房市目前供過於求，導致待售住宅增加，房價容易出現修正；反之當餘屋減少時，代表房市供不應求，待售住宅數減少，房價容易上漲。","tw-house-for-sale-vs-housing-price"
"41939","南韓-前20日出口(年增率)","南韓海關總署每月接近月底時會公佈該月前 20 天的出口數據，可用來領先觀察韓國的出口情況。作為全球貿易金絲雀的韓國，其出口數據可用來判斷目前全球的貿易活絡程度，且由於南韓出口結構與台灣相似，也可作為台灣出口的領先指標之一。","korea-first-20-days-total-exports"
"42418","中國-期末投資者戶數","此數據為中國滬深兩市每個月期末時的投資者數量（萬戶），可用來反映目前市場對於陸股的信心狀況，也可用來觀察股市是否有過熱現象。","china-final-trading-account"
"42591","台灣-央行資產負債表規模","此數據為台灣央行資產（負債）合計規模，可用來觀察央行貨幣操作上的鬆緊程度。","taiwan-central-bank-balance-sheet"
"42609","俄羅斯-基準利率vs.消費者物價指數[CPI]","俄羅斯央行以錨定通膨目標於 4% 附近為主要政策目標，其屬於貨幣政策順週期（Procyclical policy）國家，常於經濟趨緩、通膨升溫時升息，防止資本外流、本幣貶值；在通膨壓力回落時改降息刺激經濟。因此其政策基準利率（Key Rate）和消費者物價指數 CPI 息息相關。","russia-interest-rate-vs-cpi"
"43052","台灣-清華安富房價指數-全國","清華安富房價指數由安富財經科技股份有限公司與國立清華大學安富金融工程研究中心聯合編撰，參考實價登錄資訊並輔以計量經濟模型，觀察房價及交易量的變化。以 2013 年 1 月為基期，計算全台、六都、 16 個縣市和行政區的房價資訊。

清華安富房價指數採用「類重複交易法」計算，透過尋找類似成交案例之概念，搜尋與當月 2 樓以上集合式住宅（公寓、華廈、住宅大樓、套房、透天厝）交易案例高度相似並具有替代性的相似房屋，藉由估價模型校正各建物特徵之方式，模擬比對出類似重複交易案件（相似房屋）的價格，以作為衡量房屋價格變動的參考指標。

房屋實價登錄新制自 2012 年 8 月 1 日起施行，每月 5 日可自內政部取得上個月之房價訊息（二樓以上集合住宅，不含透天）。","taiwan-aife-house-price"
"43053","台灣-清華安富房價指數-各縣市","清華安富房價指數由安富財經科技股份有限公司與國立清華大學安富金融工程研究中心聯合編撰，參考實價登錄資訊並輔以計量經濟模型，觀察房價及交易量的變化。以 2013 年 1 月為基期，計算全台、六都、 16 個縣市和行政區的房價資訊。

清華安富房價指數採用「類重複交易法」計算，透過尋找類似成交案例之概念，搜尋與當月 2 樓以上集合式住宅（公寓、華廈、住宅大樓、套房、透天厝）交易案例高度相似並具有替代性的相似房屋，藉由估價模型校正各建物特徵之方式，模擬比對出類似重複交易案件（相似房屋）的價格，以作為衡量房屋價格變動的參考指標。

房屋實價登錄新制自 2012 年 8 月 1 日起施行，每月 5 日可自內政部取得上個月之房價訊息（二樓以上集合住宅，不含透天）。","taiwan-aife-house-price-of-six-region"
"43078","美國-上中下游庫存絕對值","透過美國製造業、躉物業、零售業庫存量，可觀察供應鏈上游、中游傳遞至下游終端補庫存的情形，當庫存增速攀升，未有足夠消費支撐則在未來會發生去化庫存的現象，此圖可搭配美國-企業存貨銷售比同步觀察企業庫存與消費間的力道。","us-supply-chain-inventory"
"43091","印度-OECD領先指標","印度 OECD 領先指標反映印度整體景氣走勢，以 100 為基準點，投資人可留意指標走勢及轉折點。當指標向上，代表印度基本面好轉；指標向下，代表印度基本面整體惡化。

印度 OECD 領先指標組成細項：工業生產指數-消費性耐久財、工業生產指數-礦業（非金屬）、車輛銷售-乘用車、 M1 貨幣供給、 BSE-100 股市指數、拆款利率（反向）。","oecd-leading-india"
"43101","巴西-出口","巴西近年出口占 GDP 比重約 11 ~ 15%，其國內天然資源豐富，其中有 50% 以上的出口來自大宗原物料商品。因此原物料價格走勢密切影響巴西出口表現。黃豆、鐵礦砂、石油為巴西前三大出口商品。

主要出口地區占比：
1. 中國：25 ~ 30％
2. 美國：10 ~ 15％
3. 歐洲：10 ~ 15%
4. 阿根廷：3 ~ 5％","brazil-export"
"43102","巴西-進口","巴西近年進口占 GDP 比重約 8 ~ 15%，其進口上以機械、燃料、化學及醫藥品等為主。

主要進口地區占比：
1. 中國：20 ~ 25％
2. 美國：15 ~ 20％
3. 歐洲：15 ~ 20%
4. 阿根廷：5％","brazil-import"
"43107","巴西-外國直接投資[FDI]","外國直接投資是指外國企業為獲得利益在本地所作的經濟投資，反映國際資金流向。

巴西天然資源與人口紅利豐沛、經濟規模大，具備投資潛力，是新興市場中最受外國投資青睞的國家之一。","brazil-foreign-direct-investment"
"43119","俄羅斯-出口","俄羅斯近年出口占 GDP 比重約 25 ~ 31%，其國內天然資源豐富，主要出口品以原油、石油產品、天然氣、木材、稀有金屬等為主，能源及金屬出口占總出口 70% 以上。

主要出口地區占比：
1. 中國：10 ~ 15％
2. 荷蘭：5 ~ 10％
3. 英國：5 ~ 10％
4. 德國：5 ~ 10％

註：俄羅斯國家官網上的主要經濟數據，當前大多僅更新至 2021 年底或 2022Q1，不更新的原因可能是對俄烏戰爭等地緣政治因素的考量。 MM 將持續關注俄烏地緣事件走向，以及相關經濟數據的更新情況，並在第一時間為用戶呈上。","russia-export"
"43120","LME-錫期貨/選擇權-投資基金多空部位變動","倫敦金屬交易所（LME）是工業金屬的全球交易中心。全球大部分工業金屬均在 LME 進行，包含銅、鋁、鎳、鋅、鉛、錫等。倫敦金屬交易所每週三會公佈 COT 報告，報告中統計市場交易者在上週週五的倉位分佈情況。

COT 報告將市場交易者劃分成投資公司 / 信貸機構、投資基金、其他金融機構，以及商業交易商。投資公司是將個人投資者的資金投資於眾多股票，追求相對大盤的報酬。而投資基金則包含避險基金、私募股權基金等，追求絕對報酬為目標。因此，我們特別關注投資基金的持倉數據，藉此觀察避險基金、私募股權基金等專業資金管理者的整體操作方向。上述機構對於市場趨勢敏銳度高，因此可視為「聰明錢」的流向。

M平方選取投資基金在期貨、選擇權交易的多空部位數，並將「多單」減去「空單」所得出的「淨部位」作為觀察指標。","lme-tin-futures-and-options-fund-held-long-short-change"
"43121","LME-錫期貨/選擇權-投資基金淨部位vs.價格","倫敦金屬交易所（LME）是工業金屬的全球交易中心。全球大部分工業金屬均在 LME 進行，包含銅、鋁、鎳、鋅、鉛、錫等。倫敦金屬交易所每週三會公佈 COT 報告，報告中統計市場交易者在上週週五的倉位分佈情況。

觀察原物料市場中的投資基金，操作上多以短期、投機、趨勢交易為主，因此淨部位與價格經常具有同向關係。當淨部位持續增加，代表大型機構看多後市，價格具有支撐或上漲動能；相對地，若呈現下降，可能代表市場情緒轉向、價格轉弱。

除了參考投資基金淨部位的絕對值與變化趨勢，也可與近 1 ~ 3 年的歷史極值做比較，瞭解市場相對於歷史是否處於極度樂觀 / 悲觀的階段。","tin-future-options-fund-net-position-vs-price"
"43122","LME-錫期貨/選擇權-投資基金淨部位(週變動)vs.價格","淨部位週變動 = 本週淨部位數 - 上週淨部位數。以零軸為分界，當數值大於零，顯示淨部位增加，反之亦然，可作為短期趨勢的判斷方向。","tin-future-options-fund-net-position-change-vs-price"
"43123","俄羅斯-進口","俄羅斯近年進口占 GDP 比重約 20 ~ 24%，其進口上以機械、電子、運輸及醫藥品等為主。

主要進口地區占比：
1. 中國：20 ~ 25％
2. 德國：10 ~ 15％
3. 美國：5 ~ 10％
4. 白俄羅斯：5 ~ 10％

註：俄羅斯國家官網上的主要經濟數據，當前大多僅更新至 2021 年底或 2022Q1，不更新的原因可能是對俄烏戰爭等地緣政治因素的考量。 MM 將持續關注俄烏地緣事件走向，以及相關經濟數據的更新情況，並在第一時間為用戶呈上。","russia-import"
"43124","LME-錫期貨/選擇權-淨部位佔未平倉比率vs.價格","淨部位數的多寡可能隨著市場交易總量上升而跟著推高，因此將淨部位數 / 總未平倉量，更能夠精準反映市場多空方向。

當淨部位佔未平倉比率呈現上升趨勢時，短期價格有上行動能；相對則有下行壓力。","lme-tin-futures-options-ratio-of-net-positions-to-open-positions-price"
"43125","LME-錫期貨/選擇權-投資基金多空比vs.價格","多空比 = 多單部位 / 空單部位。藉由多空比可以瞭解市場看多、看空的懸殊 / 平均程度，能夠當作觀察市場走勢與情緒的指標。

當多空比數值走升，顯示投資基金做多部位數增加、做空部位數減少，機構投資人看好該標的、容易推升價格；相對地，當多空比數值下滑，顯示投資基金的做空部位數增加、做多部位數減少，機構投資人看壞該標的、容易拉低價格。

不過，當多空比出現相對歷史的高檔 / 低檔時，代表市場處於極度樂觀 / 悲觀的階段，投資人可能獲利了結、帶動價格反轉。","lme-tin-futures-and-options-long-short-ratio-price"
"43127","俄羅斯-房價","俄羅斯地廣人稀，在 1992 年蘇聯解體後，政府開始推行大規模土地私有化，房地產市場蓬勃發展。

直至 2014 年俄羅斯金融危機下，盧布大幅貶值，房市亦遭重創。危機過後，房市重新出現上漲趨勢。","russia-house-price-oecd"
"43480","台灣-信義房價指數vs.名目GDP","透過房價與經濟增長的變化可觀察房市過熱程度，當房價增長遠快於經濟增長時，代表房市市值有過度膨脹的狀況，必須留意房市有過熱的風險。","tw-xinyi-price-index-vs-tw-nominal-gdp"
"43482","台灣-住宅貸款餘額vs.台灣名目GDP年增率",,"tw-morgage-vs.-taiwan-nominal-gdp-growth"
"43519","Avalanche/美元","於 2020 年 9 月推出 Avalanche 雪崩協議是用來推出去中心化金融 (DeFi) 交易與其他服務的底層協議（Layer 1），其發行原生代幣為 AVAX，其目標在成為全球知名的底層協議，並以去中心化方式，透過智慧合約與其他先進技術控制其資産。根據 Ava Labs 開發者宣稱，Avalanche 是第一個能在一秒内完成標準交易程序的智慧合約網路。

","avalanche-usd"
"43522","Crypto.com Coin/美元","中心化加密貨幣交易所 Crypto.com 發行的平台幣 CRO，可用來於該平台進行質押抵減交易手續費、增加存款利率，另外也是去中心化底層協議鏈 Cronos 的原生代幣，可用來支付鏈上任何交易、認證、簽署的行為。CRO 代幣類似幣安交易所得幣安幣 BNB，分別在中心化交易所及去中心化協議上都有其功能。
","crypto-com-coin-usd"
"43562","加密貨幣相關基金或ETF","以下列出主要追蹤加密貨幣報酬的基金或 ETF：

GBTC：是由一家加密貨幣信託基金公司灰度（GrayScale）發行的一檔代表固定一定數量的比特幣的基金，追蹤比特幣的價格報酬。 GBTC 提供傳統美國證券市場對於比特幣曝險的投資管道，惟須特別注意其有管理費年費率 2% 以及可能的溢價問題。

BITO：2021/10/19 於紐約證券交易所開始掛牌，是市場上首支比特幣 ETF，被視為加密貨幣發展的里程碑。該 ETF 由基金管理公司 ProShares 發行。

BTCC：由加拿大資產管理公司 Purpose Investments Inc. 在多倫多證券交易所推出比特幣 ETF，BTCC 直接投資實物交割的比特幣，須注意其另外有年管理費率 1% 的持有成本。

ETHE：是由一家加密貨幣信託基金公司灰度（GrayScale）發行的一檔代表固定一定數量的以太幣的基金，追蹤以太幣的價格報酬。 ETHE 提供傳統美國證券市場對於比特幣曝險的投資管道，惟須特別注意其有管理費年費率 2.5% 以及可能的溢價問題。","etf-crypto"
"43666","美國-10年期公債殖利率vs.金融類股","美國-金融類股與 S&P 500 比值 = S&P 500 金融類股總報酬指數 / S&P 500 總報酬指數，可以視為金融類股投資週期。當比值上升，代表金融類股相對於大盤（S&P 500）有更好的表現；反之，則代表金融類股表現落後於大盤。

美國銀行業主要收入來自於「淨利息收入」，因此銀行業營收對市場利率較為敏感，一般來說，美債殖利率上升時，有助於銀行業的獲利表現，金融類股與 S&P 500 比值上升。

然而，殖利率與金融類股的關係並不是牢不可破，舉例來說 2018 年，在美國景氣趨緩、製造業週期走弱下，銀行業營收增長因終端信貸下滑而受到壓抑，但由於聯準會持續升息 4 碼，美債殖利率反而出現上升，與金融類股走勢出現短暫背離，因此建議在判斷金融類股投資週期時，尚需考慮其他美國景氣相關指標。
","10year-bond-yield-vs-finance-stocks"
"43733","中國-LPR利率互換","在 2019 年人行引進新的 LPR 定價基準後，也陸續推出與 LPR 利率掛鉤的衍生性商品，做為企業和銀行對沖利率風險的工具，包括 LPR Swap 、 LPR 交換選擇權等，其中利率互換又是交易最活躍的利率衍生品之一，因此 LPR 互換利率可作為市場交易者預期未來央行升息 / 降息的指標。","china-lpr-irs"
"43751","美國-企業信貸週期","美國商業銀行總放貸主要由三大項目組成：商業貸款（20% ~ 30%）、房地產貸款（40% ~ 60%）、消費貸款（10% ~ 20%）。

景氣復甦的初期，寬鬆政策帶動信貸週期將由第一線的家計消費信貸開始率先回穩，當終端消費開始傳遞需求至上游廠商，屆時將開始帶動企業投資大幅擴增，商業貸款佔比走升，進而帶動就業市場持續復甦、薪資成長、消費力再提升、進入再度創造需求的正向循環。

直到景氣進入末升段，產能過剩的隱憂與政策緊縮壓力開始影響至企業，即使看到終端需求回升，企業對於擴廠等投資支出態度轉向保守，直至最終信貸週期進入衰退。","us-business-credit-cycle"
"43845","OPEC海灣國家-財政平衡油價","由國際貨幣基金（IMF）《中東和中亞地區經濟展望》報告所估算的財政平衡油價（fiscal breakeven oil price），是指高度仰賴石油收入的產油國，為了實現財政預算平衡所需要的原油價格水平，也就是政府從石油生產和出口活動所得到的稅收，能夠涵蓋全數政府支出所需的油價，其中包括政府在醫療保健、教育、國防和基礎建設等領域的花費，以及償還債務的支付。財政平衡油價會根據各國原油產量、政府效率和經濟體質的不同而有所差距。

當國際油價低於財政平衡油價時，該國可能面臨財政赤字，進而引發經濟、政治、社會問題，若要保持國家正常運轉及國民福利的持續支出，政府可能會減少石油供給，確保市場恢復到正常供需平衡狀態，帶動油價走升至財政平衡油價之上，因此是研究產油國的供給行為、政治經濟的重要指標。","breakeven-fiscal-oil-price-for-opec-gulf-countries"
"43881","全球-地緣政治風險指數vs.油價","由美國聯準會經濟學家 Dario Caldara 和 Matteo Iacoviello 所編製的地緣政治風險指數（GPR），統計 1900 年以來與地緣政治緊張局勢有關的詞彙在主要國際報紙上的出現比例。 GPR 指數在兩次世界大戰、韓戰、古巴危機、波斯灣戰爭、 911 事件、 2003 年美國入侵伊拉克前後皆出現飆升情形，與油價波動劇烈時期大多具有相關性。

GPR 指數又將自動化文字搜尋結果分為八大子類別：
1. 戰爭威脅（War Threats）
2. 威脅和平（Peace Threats）
3. 軍備加強（Military Buildups）
4. 核威脅（Nuclear Threats）
5. 恐怖主義威脅（Terror Threats）
6. 開戰（Beginning of War）
7. 戰情升溫（Escalation of War）
8. 恐怖行動（Terror Acts）

基於上述搜尋群組的基礎，可以建構出兩個子指數：威脅（子類別 1～5）、行動（子類別 6～8），進一步分離出地緣政治事件的負面直接影響與潛在風險影響。","geopolitical-risk-index-vs-oil-price"
"122386","NYMEX-WTI西德州原油價格走勢(EIA預估)","美國能源資訊局（EIA）每月公佈「短期能源展望報告」（Short-term Energy Outlook, STEO），針對 WTI 西德州原油價格走勢進行預估（黑色虛線）以及歷史數據整理（藍色實線），並使用報告發布當下的期貨曲線市場價格（紅色實線）作為比較。除此之外，EIA 也會參考選擇權市場資訊，從而回推計算期貨價格的 95% 信賴區間（黃色虛線）。","nymex-wti-crude-oil-price-eia-forecast"
"122376","全球-主要經濟體石油消費量年變動(EIA預估)","此圖表呈現全球主要經濟體石油消費量的年增長變化，依據美國能源資訊署 (EIA) 的預估數據，拆解 1990 年代以來不同國家與地區對石油需求增長的貢獻。

過去 30 年的平均年增長量約在 100 萬桶 / 天 左右。而聚焦近 10 年，對石油需求增長的貢獻最高的國家或地區為中國、印度及其他非 OECD 國家。","major-economies-liquid-fuels-consumption-annual-chg-eia-estimate"
"44256","全球-採購經理人指數[PMI]","PMI 指數反映經理人對於景氣前景的看法，大於 50，表示採購經理人「看好」製造業景氣成長；小於 50，則代表採購經理人「看衰」製造業景氣成長。

註：數據來源為 J.P.Morgan","global-pmi"
"122372","全球-主要地理區域石油消費年變動(EIA預估)",,"major-geographical-regions-liquid-fuels-consumption-annual-chg-eia-estimate"
"122371","全球-主要地理區域石油消費量(EIA預估)",,"major-geographical-regions-liquid-fuels-consumption-eia-estimate"
"122370","OECD vs 非OECD-石油消費年變動(EIA預估)",,"oecd-vs-nonoecd-liquid-fuels-consumption-annual-change-eia-estimate"
"122369","OECD vs 非OECD-石油消費量(EIA預估)",,"oecd-vs-nonoecd-liquid-fuels-consumption-eia-estimate"
"44710","全球-Vortexa原油浮動倉儲","由船舶 / 能源分析機構 Vortexa 統計，追蹤存放在海上浮動倉儲（floating storage）設施的全球原油儲量。 Vortexa 將浮動倉儲定義為在油輪上滯留 7 天以上的原油庫存，有別於傳統陸上（onshore）或在途（in transit）庫存。

當市場供應過剩、陸上儲油空間緊缺，石油交易商便會考慮將原油、成品油（例如柴油、航空燃料）庫存存放至海上超級油輪（VLCC）。 2020 上半年期間，全球受到新冠肺炎影響，交通需求急遽下降，引發油價崩跌，原油浮動倉儲水位出現明顯飆升情形。","vortexa-global-crude-oil-floating-storage"
"44740","Meta-每日活躍用戶數","Meta 的每日活躍用戶在全世界高達 15 億以上，近年雖然逐漸飽和，成長率放緩，然龐大用戶基礎仍是商家數位廣告投放的首選之一。","fb-dau"
"44756","全球-Drewry世界貨櫃運價指數[WCI]","由英國倫敦海運諮詢機構德魯里（Drewry）所編製的世界貨櫃運價指數（World Container Index, WCI），統計上海往鹿特丹、鹿特丹往上海、上海往熱內亞、上海往洛杉磯、洛杉磯往上海、上海往紐約、紐約往鹿特丹、鹿特丹往紐約共 8 條主要航線的 40 呎貨櫃運價。 WCI 的計算方式納入現貨合約、短期合約，並同時採計各主要航線的去程與回程，與 CCFI 、 SCFI 有所不同，更完整地反映歐亞、歐美、亞美三地航線運價變化。

註：每週一更新上週數據","drewry-world-container-index"
"44816","美國-原油庫存(除以5年平均)vs.油價","將 EIA 原油庫存除以 5 年平均，可以剔除季節性波動因素，反映庫存水位與長期趨勢的變化，相較於庫存年增率，更不容易受到基期因素影響。該數值向下顯示庫存消耗、基本面轉強，向上顯示庫存堆積、基本面疲弱，與原油價格呈現明顯的反向關係。

註：EIA 原油庫存數據頻率為「週」，因此 5 年平均是以過去 5 年「同週」的數值來計算平均值。 ","us-crude-oil-inventory-divided-by-five-years-average-vs-oil-price"
"44840","美國-ZEW行業指數-銀行加保險vs.金融類股","ZEW 經濟景氣指數由位於德國的歐洲經濟研究中心（ZEW）訪問超過 300 名來自銀行、保險公司、特定產業財務部門的專業人士，針對未來 6 個月的通膨、利率、匯率、股市和油價等 5 個項目進行評估，其數值反映分析師對市場預測樂觀與悲觀的比例，通常於每個月第 3 週公佈最新數據。

此圖將 ZEW 銀行與保險業指數相加，數值越高，代表 ZEW 受訪者越看好金融類股的表現。
","zew-sectors-banks-insurance-financial-stocks"
"44853","美國-基準利率&通膨vs.金融類股","市場上在提到金融類股時，常有其「抗通膨、抗升息」的說法，來自於金融股的循環特性：(1) 通膨回升、聯準會升息的時期，通常是景氣從復甦轉擴張，金融類股為循環性類股，所以表現較佳。(2) 長天期公債殖利率 = 短天期利率（基準利率）+（預期）通膨，因此當聯準會升息以及通膨升溫時，長天期利率會走高，有利於金融股。

但「抗通膨、抗升息」的金融股投資策略並非萬無一失，舉例來說 2018 年，通膨維持高檔，聯準會持續升息 4 碼，但金融類股全年報酬為 -13.03%（S&P 500 -4.38%），因此金融股「抗通膨、抗升息」的說法不完全正確，還要搭配觀察製造業循環與市場利率走向，以更好的判斷金融股投資週期。

","interest-rate-cpi-financial-stocks"
